wage,minutes,points
1002.5,2867,16
2030.0,2789,13
650.0,1149,6
2030.0,1178,7
755.0,2096,11
2014.5,1971,11
1065.0,2303,15
420.0,1131,7
150.0,542,3
3050.0,2700,26
1030.9,2337,12
182.0,983,3
900.0,2746,11
850.0,767,5
1004.0,2173,16
2040.0,2648,14
3125.0,1757,16
3120.0,2018,22
4000.0,1987,12
570.0,1005,6
620.0,2770,15
150.0,419,4
4000.0,2856,20
150.0,682,5
1007.5,1808,11
1059.0,1502,7
1020.0,397,3
3007.5,2759,22
150.0,1371,7
1120.0,814,7
840.0,1548,8
1050.2,1708,5
3541.0,1838,17
3543.0,965,5
1075.0,1447,11
475.0,149,2
850.0,2022,9
312.0,1531,8
2850.0,2386,17
2278.0,2768,14
4570.0,2660,14
1200.0,286,4
350.0,1165,5
845.0,428,3
2000.0,3066,19
275.0,1773,6
2033.0,2896,19
488.0,1255,11
1065.0,1684,9
250.0,158,1
1082.5,2617,18
2161.0,2699,15
600.0,877,4
150.0,285,2
3000.0,2853,12
1200.0,1406,8
1100.0,2853,13
1244.0,1507,8
1280.0,2591,20
735.0,1519,9
902.0,2172,10
300.0,1163,5
1498.0,496,4
672.0,1786,9
1617.0,2773,17
1000.0,1230,5
1160.0,1318,9
1120.0,1296,8
250.0,1097,6
2844.0,2324,17
2414.0,2738,15
2100.0,1022,15
700.0,3533,21
1600.0,2438,18
525.0,1225,5
650.0,1122,7
790.0,1606,9
1100.0,1292,5
1200.0,2370,10
1544.0,2571,14
3170.0,3277,27
225.0,219,2
2283.0,2209,12
2428.0,2909,14
1050.0,759,5
150.0,923,9
1100.0,1533,8
1694.0,1022,10
2840.0,350,7
1023.0,623,7
569.0,1930,9
1225.0,2118,12
650.0,352,4
150.0,535,2
3200.0,556,9
1700.0,2253,12
1445.0,1515,10
4133.0,2685,14
150.0,247,3
1100.0,1762,10
910.0,923,14
800.0,1617,9
2400.0,2278,12
150.0,2700,14
1850.0,1597,10
2000.0,1601,19
312.0,319,2
1002.0,697,7
150.0,1726,8
1100.0,1880,12
250.0,1199,7
922.0,66,2
1410.0,2201,11
1186.0,1358,11
2002.0,2999,21
2452.0,1910,8
3057.0,2410,15
2252.0,2776,17
866.0,2560,14
650.0,1242,6
150.0,579,8
1722.0,2127,13
670.0,1472,5
800.0,2533,15
1470.0,1524,10
1375.0,1921,4
150.0,33,3
1600.0,1053,8
2730.0,2428,17
375.0,626,5
2000.0,2415,17
270.0,1617,6
1275.0,2182,15
2075.0,2206,14
2925.0,3135,19
3575.0,1817,9
600.0,1950,6
3440.0,2778,20
1200.0,2727,14
1200.0,1969,12
150.0,591,8
650.0,226,2
1960.0,1349,11
921.0,319,2
650.0,386,3
950.0,877,5
1269.0,1994,8
650.0,1402,5
764.0,1333,11
3625.0,2972,25
2234.0,2204,10
1100.0,1903,7
2000.0,2932,12
1100.0,499,8
2557.0,1105,10
1120.0,2057,19
1600.0,774,3
1445.0,1515,10
2670.0,2811,16
650.0,1371,5
900.0,948,5
1965.0,2570,15
1244.0,3015,16
985.0,309,1
3900.0,3224,29
150.0,384,2
890.0,1357,7
2820.0,2283,13
1512.0,2037,9
900.0,1536,7
2700.0,1385,10
182.0,980,6
2380.0,1750,17
1650.0,2336,9
1040.0,3147,18
613.0,638,8
1690.0,1555,9
3250.0,2298,22
2300.0,2449,20
650.0,848,4
2975.0,3207,17
3250.0,2520,21
2333.0,2557,17
1300.0,1441,6
1578.0,2334,19
790.0,86,2
2429.0,2112,10
2940.0,1276,7
942.0,820,7
2500.0,2074,13
2336.0,2853,20
650.0,673,5
1560.0,2889,17
2500.0,2636,10
1850.0,2094,13
550.0,1041,5
1260.0,674,4
1616.0,499,7
150.0,667,3
850.0,2402,12
2500.0,2897,23
1743.0,2702,15
940.0,877,4
1462.0,2567,13
1658.0,1356,11
200.0,1221,8
2075.0,2488,12
2407.0,1133,7
1195.0,1949,10
1807.0,2409,12
150.0,94,2
2156.0,2029,12
1818.0,1344,9
5740.0,3241,30
2450.0,2989,5
150.0,339,2
525.0,1690,9
2000.0,2435,14
600.0,866,3
617.0,280,3
800.0,2597,18
150.0,86,4
700.0,78,2
890.0,1887,6
2383.0,2881,17
3587.0,2170,12
170.0,152,2
1151.0,2728,15
810.0,1070,7
150.0,559,3
200.0,313,3
1771.0,2820,16
1800.0,1619,8
1200.0,763,4
3081.0,3329,25
150.0,1121,5
1581.0,2210,9
2400.0,2969,15
650.0,92,1
150.0,1321,7
2004.0,2025,18
2000.0,1604,12
2312.0,1485,7
1650.0,2795,17
601.0,2487,18
500.0,650,6
500.0,749,4
283.0,1035,6
1722.0,2303,10
600.0,35,4
400.0,1397,5
1400.0,2605,15
1630.0,2915,14
1400.0,2149,8
650.0,107,3
1200.0,2147,10
1228.0,1608,6
1510.0,2539,12
2625.0,2867,19
565.0,1732,8
688.0,2292,12
833.0,186,2
2000.0,2711,11
1262.0,2613,12
3210.0,2638,20
715.0,1084,5
600.0,1197,10
2500.0,2113,16
2000.0,282,2
